city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Kénitra,11,2,3,1120000,180,https://www.avito.ma/fr/maamora/appartements/Appartement_à_vendre_centre_ville_maamora_Kénitra_50228791.htm,2024,1,164,200,Maamora,apartment,1,1,0,0,1,1,0,1,1,1
Drargua,11,2,2,330000,57,https://www.avito.ma/fr/drargua/appartements/des_apprtement_a_vendre__53850953.htm,2024,2,57,,Toute la ville,apartment,0,1,0,0,0,1,0,1,0,1
Berrechid,11,1,2,380000,60,https://www.avito.ma/fr/berrechid/appartements/شقق_للبيع_في_مدينة_برشيد__55607327.htm,2024,1,60,50,Toute la ville,apartment,1,1,0,0,1,1,0,0,0,0
Casablanca,11,2,2,1200000,116,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_à_vendre_109_m²_à_bv_hassan_2__55774704.htm,2024,2,109,,Mers Sultan,apartment,0,0,0,0,0,0,0,0,0,0
Agadir,11,1,2,500000,57,https://www.avito.ma/fr/hay_salam/appartements/appartement_à_vendre__55718173.htm,2024,4,57,,Hay Salam,apartment,0,0,1,1,1,1,1,1,1,0
Casablanca,11,2,2,17500,76,https://www.avito.ma/fr/oasis/appartements/Appartement_76_m²_bien_ensoleillé_avec_terrasse_54419380.htm,2024,3,71,500,Oasis,apartment,1,1,0,0,1,1,0,1,0,1
Casablanca,11,2,3,3700000,148,https://www.avito.ma/fr/maârif_extension/appartements/Appartement_dernier_étage_sans_vis_à_vis__55704308.htm,2024,5,142,,Maârif Extension,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,11,3,4,3650000,349,https://www.avito.ma/fr/quartier_des_hôpitaux/appartements/Appartement_à_vendre_281_m²_à_Casablanca_53301329.htm,2024,5,281,300,Quartier des Hôpitaux,apartment,1,1,0,1,1,1,0,1,0,1
Casablanca,11,3,4,2900000,202,https://www.avito.ma/fr/maarif/appartements/Appartement_à_vendre_202_m²_à_Casablanca_55362270.htm,2024,6,202,300,Maarif,apartment,1,1,0,1,1,0,0,0,0,1
Casablanca,11,1,3,3200000,,https://www.avito.ma/fr/triangle_d'or/appartements/Sublime_appartement__à_vendre_sur_triangle_d_or_55774694.htm,2024,5,186,,Triangle d'Or,apartment,0,0,0,0,0,0,0,1,0,1
