city,month,n_bathrooms,n_bedrooms,price,total_area,url,year,floor_number,living_area,monthly_syndicate_price,neighborhood,type,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equipped_kitchen,bool_furniture,bool_parking,bool_security,bool_terrace
Marrakech,10,1,2,410000,58,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_à_vendre__55578774.htm,2024,0,58,100,Route de Casablanca,duplex/triplex,1,1,0,0,1,1,0,1,0,0
Kénitra,10,2,2,,60,https://www.avito.ma/fr/quartier_al_fath/appartements/شقة_للبيع_بمهدية_القصبة_آليانس_دارنا_55645058.htm,2024,2,60,,Quartier Al Fath,apartment,0,0,0,0,1,0,0,0,1,0
Rabat,10,1,4,1500000,116,https://www.avito.ma/fr/diour_jamaa/appartements/APPARTEMENT_À_VENDRE_À_DIOUR_JAMAA_CENTRE_RABAT_54636359.htm,2024,,116,130,Diour Jamaa,apartment,1,0,0,0,1,0,0,0,1,0
Bouskoura,10,3,4,2980000,150,https://www.avito.ma/fr/ville_verte/appartements/Appartement_spacieux_Bouskoura_54946540.htm,2024,2,140,,Ville verte,apartment,1,1,1,1,1,1,0,1,1,1
Mohammedia,10,1,2,390000,,https://www.avito.ma/fr/nassim/appartements/appartement_a_vendre__55628254.htm,2024,4,60,,Nassim,apartment,0,0,0,0,0,0,0,0,0,0
Marrakech,10,1,2,425000,,https://www.avito.ma/fr/targa/appartements/Appartement_69_m²_à_Marrakech_55537250.htm,2024,3,69,50,Targa,apartment,0,0,0,0,0,0,0,0,0,0
Agadir,10,2,2,,,https://www.avito.ma/fr/tilila/appartements/Appartement_à_vendre_78_m²_à_Agadir_54002429.htm,2024,1,78,,Tilila,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,2,3,592000,81,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_à_vendre_87_m²_à_Casablanca_55328894.htm,2024,4,81,200,Autre secteur,apartment,0,0,0,0,0,1,0,1,0,0
Casablanca,10,2,2,1900000,110,https://www.avito.ma/fr/ferme_bretone/appartements/Appartement_neuf_Laya_54226347.htm,2024,2,95,,Ferme Bretone,apartment,1,1,1,1,1,1,0,1,1,1
Bouznika,10,1,2,590000,74,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Bouznika_شقة_عالية_الجودة_بوزنيقة_53907110.htm,2024,1,74,,Autre secteur,apartment,0,0,0,0,0,0,0,0,0,0
Salé,10,3,3,5100000,310,https://www.avito.ma/fr/bab_al_bahr/appartements/Bel_appartement_avec_vue_panoramique_à_Marina_Salé_55443118.htm,2024,3,211,,Bab Al Bahr,apartment,1,1,1,1,1,1,0,1,1,1
Casablanca,10,2,2,1999000,114,https://www.avito.ma/fr/maarif/appartements/Appartement_à_vendre_108_m²_à_Casablanca_48952626.htm,2024,,108,500,Maarif,apartment,1,1,0,0,1,1,1,1,1,1
Saidia,10,1,2,510000,,https://www.avito.ma/fr/saidia/appartements/Appartement_a_vendre_a_saidia__34176134.htm,2024,1,68,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,1
Kénitra,10,1,2,390000,70,https://www.avito.ma/fr/assam/appartements/Appartement_à_vendre_67_m²_à_Kénitra_48757649.htm,2024,2,67,,Assam,apartment,1,0,0,0,1,1,0,1,1,1
Béni Mellal,10,1,3,800000,112,https://www.avito.ma/fr/béni_mellal/appartements/Appartement_à_vendre_112_m²_à_Béni_Mellal_55309721.htm,2024,1,112,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,1
Marrakech,10,2,2,1150000,108,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_à_vendre_à_Ouasis_55187227.htm,2024,1,108,,Hay Izdihar,apartment,1,1,0,0,0,0,0,1,0,1
Casablanca,10,2,2,770000,76,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_à_vendre_76_m²_à_Casablanca_54959636.htm,2024,1,76,100,Sidi Bernoussi,apartment,0,1,0,0,0,1,0,1,1,0
Saidia,10,1,2,,,https://www.avito.ma/fr/saidia/appartements/Appartement_à_vendre_à_Saidia_garage_32457288.htm,2024,0,85,,Toute la ville,apartment,0,0,0,0,0,0,0,0,0,0
Rabat,10,1,2,1160000,77,https://www.avito.ma/fr/quartier_de_l'océan/appartements/Océan_Apt_à_vendre_77_m²_55097029.htm,2024,2,77,,Quartier de l'Océan,apartment,0,1,0,0,1,1,0,1,0,0
Rabat,10,2,3,1750000,,https://www.avito.ma/fr/aviation___mabella/appartements/Appartement_101_m²_à_Rabat_55444865.htm,2024,0,101,,Aviation - Mabella,apartment,0,0,0,0,0,0,0,0,0,0
Casablanca,10,4,3,2765000,175,https://www.avito.ma/fr/aïn_chock/appartements/Appartement_à_vendre_à_Jnane_Californie_Emeraude__55636883.htm,2024,4,165,,Aïn Chock,apartment,1,1,0,1,0,1,0,1,1,0
Tanger,10,1,2,4200000,60,https://www.avito.ma/fr/zemmouri/appartements/Appartement_à_vendre__complexe_zemouri_54877713.htm,2024,2,60,100,Zemmouri,apartment,0,1,0,0,1,0,1,1,1,0
Martil,10,2,3,690000,89,https://www.avito.ma/fr/martil/appartements/Appartement_à_vendre_90_m²_à_Martil_54982052.htm,2024,4,90,100,Toute la ville,apartment,0,1,0,1,0,1,0,0,0,0
Rabat,10,2,3,10500000,,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_à_vendre_à_Dior_jamaa_Rabat__55623356.htm,2024,1,,,Diour Jamaa,apartment,0,0,0,0,1,0,0,0,1,0
