city,neighborhood,price,type,url,year,month,n_bedrooms,n_bathrooms,living_area,total_area,floor,syndicate_price_per_month,bool_security,bool_elevator,bool_balcony,bool_heating,bool_air_conditioning,bool_concierge,bool_equiped_kitchen,bool_furniture,bool_parking,bool_terrace
Casablanca,Sidi othmane,850000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sidi-othmane-CA011072,2024,11,3,2,87,87,1,,0,0,0,0,0,0,1,0,0,0
Salé,Bettana,1350000,apartment,https://yakeey.com/fr-ma/acheter-appartement-sale-bettana-SA008846,2024,11,2,2,95,147,1,,1,0,1,0,0,0,1,0,1,1
Casablanca,Belvedere (roches noires),980000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-belvedere-(roches-noires)-CA011103,2024,11,1,2,79,87,5,,1,1,1,0,0,0,1,0,1,1
Témara,Hay al wifaq,1080000,apartment,https://yakeey.com/fr-ma/acheter-appartement-temara-hay-al-wifaq-TA008794,2024,11,2,1,76,110,0,,0,0,0,0,0,1,1,0,1,1
Rabat,Quartier allaymoun,2050000,apartment,https://yakeey.com/fr-ma/acheter-appartement-rabat-quartier-allaymoun-RA011488,2024,11,2,2,84,134,1,,1,1,1,0,0,0,1,0,1,1
Dar bouazza,Tamaris2,2100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-dar-bouazza-tamaris2-DA009381,2024,11,3,3,155,178,2,500.0,1,1,1,0,1,0,0,0,1,0
Casablanca,Casablanca finance city,2790000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-casablanca-finance-city-CA011478,2024,11,2,2,100,138,5,500.0,0,1,1,0,0,0,0,0,1,0
Salé,Hay chmaou,960000,apartment,https://yakeey.com/fr-ma/acheter-appartement-sale-hay-chmaou-SA010767,2024,11,3,1,104,104,2,,1,0,1,0,0,0,1,0,0,0
Casablanca,Val fleury,2150000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA008649,2024,11,2,2,104,118,1,,1,1,1,0,0,1,1,0,0,1
Casablanca,Triangle d'or,1300000,studio,https://yakeey.com/fr-ma/acheter-studio-casablanca-triangle-d'or-CS011464,2024,11,1,1,43,58,2,400.0,0,1,1,0,0,1,1,1,1,0
Témara,Hay al wifaq,1120000,apartment,https://yakeey.com/fr-ma/acheter-appartement-temara-hay-al-wifaq-TA008798,2024,11,3,1,88,91,3,,0,0,1,0,0,1,1,0,1,0
Casablanca,Beausejour,2400000,duplex/triplex,https://yakeey.com/fr-ma/acheter-duplex-casablanca-beausejour-CD009707,2024,11,3,2,182,189,4,,0,1,1,0,0,1,1,0,1,1
Casablanca,Gauthier,4150000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA009559,2024,11,3,3,180,211,2,950.0,1,1,0,0,0,0,0,1,1,0
Casablanca,Gauthier,3500000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA008888,2024,11,3,3,210,222,2,,1,1,1,0,0,0,1,0,1,0
Casablanca,Nassim,900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-nassim-CA011675,2024,11,2,2,66,77,0,,1,1,1,0,0,0,1,0,1,1
Casablanca,Val fleury,2150000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-val-fleury-CA008650,2024,11,2,2,104,118,2,,1,1,1,0,0,1,0,0,1,1
Casablanca,Gauthier,2900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA012588,2024,11,3,2,138,160,3,433.3333333333333,0,1,0,0,0,1,1,0,1,0
Casablanca,Racine,2900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-CI066787,2024,11,3,3,147,147,2,,1,1,1,0,0,0,1,0,1,0
Casablanca,Lekrimat,2999998,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-lekrimat-CI066809,2024,11,4,3,281,281,1,,0,1,1,0,0,0,0,0,1,1
Casablanca,Azhar oulfa,980000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-azhar-oulfa-CI066984,2024,11,1,1,121,170,,,1,1,0,0,0,0,1,0,1,1
Casablanca,Belvedere (roches noires),950000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-belvedere-(roches-noires)-CI066681,2024,11,2,1,91,91,3,,1,1,1,0,0,0,0,0,1,0
Casablanca,Les princesses,1020000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-les-princesses-CI067454,2024,11,1,1,45,45,2,,1,1,1,0,0,0,1,0,1,0
Casablanca,Hopitaux,850000,studio,https://yakeey.com/fr-ma/acheter-studio-casablanca-hopitaux-CS012319,2024,11,1,1,58,66,1,300.0,0,1,0,0,0,1,1,0,0,1
Casablanca,Maarif extension,2050000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-extension-CA012266,2024,11,3,2,141,141,6,,1,1,1,0,0,1,0,0,1,1
Rabat,Guich oudaya,1700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-rabat-guich-oudaya-TA011854,2024,11,3,3,138,150,1,,0,0,1,0,0,0,1,0,0,1
Casablanca,Les princesses,1100000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-les-princesses-CA011981,2024,11,3,1,92,92,5,108.33333333333333,0,1,0,0,1,1,1,0,1,0
Casablanca,Maarif extension,1900000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-extension-CA013066,2024,11,3,1,150,287,0,300.0,0,1,0,0,0,1,0,0,1,1
Casablanca,Ouled ziane,800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-ouled-ziane-CA012394,2024,11,2,1,58,58,1,,0,0,0,0,0,0,1,0,0,0
Tanger,Mujahidine,3300000,duplex/triplex,https://yakeey.com/fr-ma/acheter-triplex-tanger-mujahidine-TT013373,2024,11,6,4,120,458,3,,0,0,0,0,0,0,1,0,1,1
Casablanca,Fadaat al mouhit,1400000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-fadaat-al-mouhit-DA012402,2024,11,3,2,128,128,3,,1,0,1,0,0,0,1,0,1,1
Casablanca,Bourgogne (sidi belyout),1600000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-bourgogne-(sidi-belyout)-CA012763,2024,11,3,2,111,111,1,,1,1,0,0,0,0,0,0,1,0
Casablanca,Maarif,4450000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA012823,2024,11,3,2,178,293,1,,1,0,1,0,1,0,1,0,1,1
Casablanca,Ibn tachfine,800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-ibn-tachfine-CA012643,2024,11,2,1,80,80,4,200.0,1,1,1,0,0,0,1,0,1,0
Casablanca,Hopitaux,850000,studio,https://yakeey.com/fr-ma/acheter-studio-casablanca-hopitaux-CS012320,2024,11,1,1,64,70,1,300.0,0,1,0,0,0,1,1,0,0,1
Casablanca,Maarif,3800000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-maarif-CA012977,2024,11,4,2,234,263,5,500.0,0,1,0,0,0,1,0,0,1,1
Casablanca,Racine,2880000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-racine-CA012269,2024,11,3,2,162,174,1,352.0,0,1,1,0,0,1,1,0,1,1
Dar bouazza,Tamaris2,1850000,apartment,https://yakeey.com/fr-ma/acheter-appartement-dar-bouazza-tamaris2-DA012598,2024,11,2,1,120,120,0,,1,0,0,0,0,0,0,1,0,1
Casablanca,Nassim,1250000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-nassim-CA013321,2024,11,3,1,110,114,4,25.0,1,1,1,0,0,0,1,0,0,0
Salé,Sala el jadida,960000,apartment,https://yakeey.com/fr-ma/acheter-appartement-sale-sala-el-jadida-SI068613,2024,11,4,1,104,104,3,,0,0,0,0,0,0,1,0,0,1
Dar bouazza,Tamaris2,3500000,apartment,https://yakeey.com/fr-ma/acheter-appartement-dar-bouazza-tamaris2-TI068695,2024,11,1,1,490,490,1,,0,0,1,0,0,0,0,0,0,1
Casablanca,Belvedere (roches noires),1409000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-belvedere-(roches-noires)-CI068714,2024,11,3,2,121,121,3,,1,1,0,0,0,0,1,0,1,1
Casablanca,Gauthier,2700000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-gauthier-CA013491,2024,11,2,2,165,178,12,,1,1,1,0,1,1,0,0,1,0
Casablanca,Sidi bernoussi,975000,apartment,https://yakeey.com/fr-ma/acheter-appartement-casablanca-sidi-bernoussi-CI068703,2024,11,,,,,,,0,0,0,0,0,0,0,0,0,0
